prism_consumer_id,checking_month1_EMA,checking_month3_EMA,checking_month4_EMA,checking_month5_EMA,checking_month7_EMA,checking_month1_SMA,checking_month2_SMA,checking_month3_SMA,checking_month4_SMA,checking_month5_SMA,CREDIT CARD_acct_count,SAVINGS_acct_count,Predictions_cat_proba,CHECKING_balance_std_diff_regress_coeff,Predictions_cat_income_proba,CHECKING_balance_std_regress_coeff,DEPOSIT_inflow_over_outflow,EXTERNAL_TRANSFER_inflow_over_outflow,INVESTMENT_INCOME_inflow_over_outflow,MISCELLANEOUS_inflow_over_outflow,PAYCHECK_inflow_over_outflow,PAYCHECK_PLACEHOLDER_inflow_over_outflow,REFUND_inflow_over_outflow,SMALL_DOLLAR_ADVANCE_inflow_over_outflow,TAX_inflow_over_outflow,DEPOSIT_inflow_over_inflow,EXTERNAL_TRANSFER_inflow_over_inflow,MISCELLANEOUS_inflow_over_inflow,PAYCHECK_inflow_over_inflow,PAYCHECK_PLACEHOLDER_inflow_over_inflow,SELF_TRANSFER_inflow_over_inflow,SMALL_DOLLAR_ADVANCE_inflow_over_inflow,TAX_inflow_over_inflow,INSURANCE_inflow_over_income,LOAN_inflow_over_income,SELF_TRANSFER_inflow_over_income,SMALL_DOLLAR_ADVANCE_inflow_over_income,AUTOMOTIVE_outflow_over_income,BNPL_outflow_over_income,EDUCATION_outflow_over_income,GIFTS_DONATIONS_outflow_over_income,HOME_IMPROVEMENT_outflow_over_income,INSURANCE_outflow_over_income,LOAN_outflow_over_income,MORTGAGE_outflow_over_income,OVERDRAFT_outflow_over_income,PETS_outflow_over_income,TAX_outflow_over_income,TRAVEL_outflow_over_income
5524,-0.21342668694845973,-0.6265958424435,-0.5492151436470261,-0.35000328331007785,-0.3218056310263044,-0.2742055124376668,-0.5821708220657889,-0.6570536328286185,-0.5094558426735669,-0.3369653681594653,0.0,0.0,0.17507023341248787,0.00012105945342100802,0.22507330037068649,-0.0017338162737229614,0.0004538158522100646,0.1670749353074323,0.0,2.318767128080622e-05,0.0,0.5923976942345305,0.001154828842895867,0.0,0.09451046374721464,0.0004587152603496846,0.16887868080020282,2.3438006003268556e-05,0.0,0.5987932356659067,0.13514783260701674,0.0,0.09553080125439371,0.0,0.0,0.2221675433537396,0.0,0.10512435792225422,0.0,0.0,0.0,0.005439524932560658,0.08941812529380813,0.025010393476285416,0.0,0.0,9.425941256777261e-05,0.0,0.0178186411060826
1750,-1.106005802922693,-0.08537056489036798,-0.6883272972070449,-0.4440690095718072,-0.19966872878765024,-1.0823398260109804,-0.28187063070575186,-0.2971743198783465,-0.7023726447386458,-0.3549492408870256,0.0,1.0,0.10715239455453486,-0.0005613065923040482,0.2116639668765433,-0.006716763554793486,0.20716808021008942,0.17002674424842315,0.0,0.027418214343256773,0.5427622903756749,0.0,0.0021064360609121396,0.008893841146073478,0.0,0.21484994371159755,0.1763313942678551,0.028434891139346198,0.5628881023453743,0.0,0.006087497275388885,0.009223627827588064,0.0,0.0,0.0,0.00999578799153517,0.01514537487353612,0.01973123496024419,0.0,0.0,0.19390400255590157,0.010911684608887435,0.019389587188096948,0.5005822200951384,0.0,0.0,0.0,0.01115974990681609,0.004174384165143892
4001,-0.3425981703220373,0.2514110382842689,0.48312246289042426,-0.6557467253962412,-0.39937626213752414,-0.5175141755439568,-0.291644278927514,0.5940561915074741,0.11977949062993193,-0.5625879908332689,0.0,0.0,0.3861671205065348,-0.001734229822203703,0.2621992168509711,-0.004702574838682924,0.09981733427827078,0.9002325743888684,0.0,0.0004990866713913539,0.0,0.0,0.0,0.0,0.0,0.09976256509507372,0.8997386220794509,0.0004988128254753687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10936996355161042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5653,0.3632059877104666,0.41886659465129056,-0.023473220474254985,0.09819850204738771,-0.7745843382883334,0.2943502259005992,0.405295178115067,0.2778637102394935,0.03703531866622152,0.25621299511118634,0.0,0.0,0.1558991386165643,-4.9033744705697184e-05,0.2215356032372198,-0.000898681284448833,0.06050463060253213,0.10086298016514915,6.046311861065019e-06,0.0,0.29013886242582965,0.5543218706290204,0.00043437185708347696,0.0,0.0,0.059260195947138584,0.09878847137608911,0.0,0.28417140420513515,0.5429208036497856,0.014427764994836263,0.0,0.0,0.0,0.0,0.017443961940174654,0.0,0.05234517272639222,0.0,0.00038820563043500794,0.0004190540499575549,0.0030789287448173496,0.056455030004006375,0.0579077554600901,0.0,0.0,0.029479796974653458,0.0,0.019564737349752434
752,-0.30143496457467944,0.9564711266251789,1.0672898389783954,-0.6410998639043314,-0.41433923144108986,-0.2394943401748188,0.5499626009367189,1.4112732304341649,0.6263318322084477,-0.6700688599216096,0.0,0.0,0.051800158496438424,-0.001238955048685998,0.1455487328056255,0.0017024364713009404,0.3077853364763874,0.006594188620698842,0.0,0.07922047194871726,0.0,0.6056967986796852,0.0,0.0,0.0,0.3080019247464268,0.00659882894542003,0.0792762193250137,0.0,0.6061230269831394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03085575470542604,0.0,0.0,0.0,0.0,0.005039705221900135,0.0,0.0,0.0,0.00045548728208059453,0.0,0.0008663189482709345
3013,1.230195479887527,-0.4830516131669092,-0.6977467248264269,-0.6965574703938956,0.0,1.2340261454960162,0.21883582305611754,-0.5370227046899214,-0.6970034408060948,-0.6970034408060948,0.0,0.0,0.2472632140256875,0.012628236612036102,0.23660212721058316,0.012689119138812717,0.0,0.12200385237374205,0.0,0.03219023927979152,0.0,0.9937991203403272,0.0,0.0051502322754756235,0.0,0.0,0.09642148836859066,0.025440432592164455,0.0,0.7854144640373165,0.0886533085994381,0.004070306402490213,0.0,0.0,0.0,0.11156842757695125,0.005122399741831053,0.019147530234964478,0.0,0.0,0.0,0.0,0.031630818405806754,0.048301668365595914,0.0,0.0,0.0,0.0,0.0
1219,-0.1465072511677912,-0.02166995251619201,-0.2060075125376324,-0.21720725163718793,0.7207447798776062,-0.06261234779498064,0.10344280555403425,-0.06495440774666321,-0.24362501513418403,-0.3820601238725611,0.0,3.0,0.10998832730378744,-0.002288773262265894,0.1463990399280034,0.00015419805066143458,0.24689209189869268,0.26282621623366054,2.1784816874296236e-05,0.016218745500548724,0.0,0.0,0.003926231949126069,0.0,0.0,0.24406671482609116,0.2598184926580917,0.016033141857551475,0.0,0.0,0.15983810500277057,0.0,0.0,0.0,0.0,0.5562806486934205,0.0,0.007540271428855291,0.0,0.0,0.004252601533083943,0.0026995775286664525,0.068249391601539,0.0006797748167483965,0.0,0.0,0.017824741502553337,0.0,0.0
1309,-0.05594384062220287,0.6595187307296096,-0.34349323662315584,-0.49829051386820905,0.39658772617038146,-0.6460238774480549,-0.24314679692790686,0.4474650582026817,-0.7549150248933114,0.023434864039928005,0.0,3.0,0.17195467794512204,-5.949637371956397e-05,0.2222691601155437,-0.00036813813879229255,0.0003606754810241929,0.0,0.00018988922558269762,0.05930987526615854,0.6570996901327171,0.0,0.0,0.0,0.07424497648909077,0.00035347942512229974,0.0,0.05812654786963679,0.6439894945355993,0.0,0.2245807077356667,0.0,0.0727636698038315,0.0,0.0,0.3486536186560783,0.0,0.004292508304127358,0.0,0.0,0.00043380579122055164,0.01078918383344634,0.07914266093869499,0.0,0.0,0.0,0.02106777825062609,0.0,0.0
2969,1.229112557342909,-0.16142039076113485,-0.49407210739810437,-0.5825735318252308,0.0,0.815029232595825,-0.17793259318350196,-0.22245796381359564,-0.5061997265478875,-0.5925712687822294,0.0,0.0,0.2586722950362908,0.011240435180267645,0.2465600944259509,0.013240336501776261,0.0006059867858521478,0.178629148812781,0.0,0.9001224699294208,0.0,0.007173065584131873,0.0,0.007574834823151847,0.0,0.0005538650363833943,0.16326501223487866,0.8227017093382754,0.0,0.006556100435670238,0.0,0.006923312954792428,0.0,0.0,0.0,0.0,0.009601720628336597,0.0703821484810078,0.0,0.0,0.0,0.0,0.006664362253715866,0.01933709720781964,0.0,0.0,0.0,0.0,0.0
5518,-0.560632522440113,-0.3213660459543698,-0.36409635339565793,-0.44617380589016997,-0.4288124227748704,-0.6185750795943317,-0.4873222335075295,-0.3115292596910638,-0.3490286397248824,-0.5216883052578019,0.0,0.0,0.059747223170353185,-0.0003571080619540383,0.04046747562090068,-0.002629788159613294,0.23342859522734283,0.5244744644719312,0.0,0.008696208417025562,0.0,0.0,0.23692662217884874,0.0,0.0,0.23260844337427988,0.5226317223541461,0.00866565427073128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306706736018741,0.0,0.0,0.0,0.0,0.07064828969049652,0.0,0.0,0.0,0.010711768676420957,0.0,0.00958698953763078
359,0.3398280715037111,0.2785101964015636,0.2759437231414072,0.2607445998868235,0.1992074469679705,0.3379269508663518,0.26437856738669996,0.2816683589001705,0.27415379720581584,0.2721091783604278,0.0,0.0,0.1777443543242255,-0.0008031301674921402,0.23019634314669854,0.0026395083315527653,0.1286342360764299,0.0001425092817720311,0.0,4.001660632158633e-05,0.0,0.1828128447833936,7.592894532813818e-05,0.0,0.0,0.08181233919414957,9.063697235097405e-05,2.5450861836153514e-05,0.0,0.1162703407946535,0.37177114396512023,0.0,0.0,0.0,0.0,2.3543924669734406,0.0,0.010109669897420097,0.0,0.0,0.0,0.0,0.06666660544046817,0.474349972930367,0.0,0.0,0.0,0.0,0.004402316738125294
3918,0.20144515301676885,0.941536286827551,0.7975333673678786,-0.5625488048112183,-1.214853215535903,-0.2144022156179094,0.07623178856140839,1.2455561000074071,0.4696401115688541,-0.4237272766215463,0.0,0.0,0.2364464934259693,0.002919732250215004,0.22989539088244712,0.006312770363212973,0.0024200132677227406,0.2974072280351277,0.0,0.014146490058131744,0.5310011262136745,0.0,0.0,0.005293779023143494,0.0,0.002428072156234303,0.29839762413139514,0.014193599298287148,0.5327694135750479,0.0,0.146899882997273,0.005311407841762538,0.0,0.0,0.0,0.1857068586129299,0.0067145381261067005,0.02051425688288119,0.0,0.0,0.0008844005931814824,0.0,0.0020822741948789175,0.2167076892972181,0.0,0.0,0.0024229890437922176,0.0,0.004978734098534888
357,0.6081492795690432,0.4622678077619078,0.7258342931434794,-0.42173066165606976,-0.11684846872650395,0.787893730071562,0.7206984140979688,0.8150506678071882,0.30391820855761476,-0.22790151811650614,0.0,2.0,0.21247433465867277,0.00010992468914705608,0.22891905858992248,0.003935846583444528,0.0277773678983053,0.562969947309174,3.0932237523296185e-05,0.009245842537860021,0.10984584050485784,0.0,0.0014263805642368028,0.0,0.0,0.026902527087277125,0.5452393586122337,0.00895464718723957,0.10638627498564951,0.0,0.31110577700477343,0.0,0.0,0.0,0.0,0.6794791718326265,0.0,0.01758351110015205,0.0,0.0,0.0,0.0071969117646548805,0.03457097881398695,0.2760918974976466,0.0,0.0,0.0027875085675456686,0.0,0.004955506563471164
3138,0.129288179596871,0.5222023132923261,-0.11609806372754408,-0.1884772259615655,-1.3610370390595758,-0.19228886679098314,0.052069037829716835,0.38072200959586394,-0.3279041789920346,0.4920853767249074,0.0,0.0,0.23957631484724093,-0.0018117574409833917,0.23190310706875247,0.0023210266611435656,0.11698558624263478,0.27800190648011314,0.0,0.3821955229705264,0.2364662303514193,0.0,0.0002968479102290975,0.0,0.0,0.11537653425571129,0.27417819165884805,0.3769387004389582,0.233213808664203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29413487282463185,0.0,0.0,0.0,0.0,0.0,0.04476916675711856,0.0,0.0,0.0,0.0,0.014828457976048339
1585,0.1945256833200452,0.13860162300961232,-1.5129944582540982,-0.21147529246773555,0.7484843653774456,0.09226938295734965,0.419087715397909,-0.5996771887529058,-1.2989894343245092,-0.2287156718950276,2.0,1.0,0.04872622638632942,0.004429388694325856,0.13670349615475172,-0.002343372138821564,0.0,0.10366286894582931,6.4609628623854676e-06,0.20800006361563433,0.6475427467242918,0.0,0.0,0.0,0.020535921959520576,0.0,0.09436196292484698,0.1893377492911262,0.5894435035420617,0.0,0.0,0.0,0.01869338487616492,0.0,0.0,0.0,0.0,0.023846689455347327,0.0,0.0,0.0007965511953011835,0.0,0.006761126545716445,0.18379969222677905,0.0,0.0,0.006591337233153581,0.0,0.0
