prism_consumer_id,checking_month4_EMA,checking_month7_EMA,checking_month2_SMA,checking_month5_SMA,checking_month7_SMA,SAVINGS_acct_count,Predictions_cat_proba,CHECKING_balance_std_diff_regress_coeff,CHECKING_balance_std_regress_coeff,DEPOSIT_inflow_over_outflow,INVESTMENT_INCOME_inflow_over_outflow,PAYCHECK_PLACEHOLDER_inflow_over_outflow,REFUND_inflow_over_outflow,SMALL_DOLLAR_ADVANCE_inflow_over_outflow,TAX_inflow_over_outflow,EXTERNAL_TRANSFER_inflow_over_inflow,MISCELLANEOUS_inflow_over_inflow,PAYCHECK_PLACEHOLDER_inflow_over_inflow,SMALL_DOLLAR_ADVANCE_inflow_over_inflow,EXTERNAL_TRANSFER_inflow_over_income,MISCELLANEOUS_inflow_over_income,PAYCHECK_PLACEHOLDER_inflow_over_income,REFUND_inflow_over_income,SMALL_DOLLAR_ADVANCE_inflow_over_income,TAX_inflow_over_income,BNPL_outflow_over_income,CREDIT_CARD_PAYMENT_outflow_over_income,EDUCATION_outflow_over_income,GIFTS_DONATIONS_outflow_over_income,HOME_IMPROVEMENT_outflow_over_income,OVERDRAFT_outflow_over_income,PAYCHECK_outflow_over_income,PETS_outflow_over_income,RENT_outflow_over_income,TAX_outflow_over_income
1605,0.12364723947102796,2.0478033491210392,-0.5092854596285581,-0.43071947685512135,1.9632197721071096,1.0,0.1747037277204795,-0.0010181362421948412,6.550780746173708e-05,0.002530471224287405,2.69726240411389e-06,0.44468360171094257,0.0013200276751668069,0.0,0.08936720342188509,0.02305980330854522,0.22415430386815632,0.4387996134158611,0.0,0.03991223296211289,0.387969432164706,0.7594805627786511,0.0022544914131345873,0.0,0.15263133987325825,0.0022054248351448687,0.023977808193818555,0.0011007840367780785,0.0001606983995296465,0.00876449071034692,0.0,0.049796041591316974,0.012644285736324352,0.00036403544106782584,0.0
4524,0.2182528878844283,-0.44526161770089706,-0.803394875222182,0.17148264607164154,0.028074486173155888,0.0,0.2608617989141529,0.0008149305866253948,-0.005757156818701211,0.003958654057620409,0.0,0.0,0.0,7.198861715985469e-07,0.0,0.9886285255623856,0.007390752711052438,0.0,7.237675866476461e-07,1.384429635635737,0.010349668068717378,0.0,0.0,1.0135306339634116e-06,0.0,0.0,0.0,0.0,0.008741701717934425,0.0,0.0,0.0,0.02052247504180814,0.0,0.0
4294,-0.3290961353100608,-0.7702119555664284,0.7943339398837606,0.613912356702053,-0.7258324259187211,0.0,0.08056574599265602,-0.00045076836735869283,0.0002542511781879246,0.15280997635686733,0.0,0.0,0.17559114410731852,0.0,0.0,0.18134447162962627,0.015042445003020266,0.0,0.0,1.038352936921483,0.08613092424050628,0.0,1.0055116523590182,0.0,0.0,0.0,0.2103818501688242,0.0,0.00043056420271996016,0.0,0.0,0.0,0.0,0.0,0.0017670354879627166
2488,-0.011425833258304888,-0.583742109144238,0.8564209581444019,-0.29843392397985646,-0.583742109144238,0.0,0.32655979339663327,-0.004203774796152401,0.0020998111613768334,0.058942938375785646,0.004874644221103981,0.15217241788030436,0.02647644585926472,0.0,0.01819851577280025,0.016676490539222863,0.005409245456402508,0.1521539522935346,0.0,0.036867192388104535,0.011958372923045767,0.3363710739152691,0.058525129922990096,0.0,0.04022709489295092,0.0005438779230886386,0.0,0.0006669173731567391,0.00445568858061881,0.0,0.0,0.0,0.0028281379789436493,0.0015442539828237473,0.009391285458737755
3469,-0.4343374254625876,0.0,-0.2543015725544424,-0.5539507454300641,0.0,0.0,0.2990367628517386,0.009702222729225553,0.01232026294372153,0.019626027443115937,0.0,0.0,0.0,0.0,0.0,0.050521790585681646,0.28829168461869886,0.0,0.0,0.06090773557582462,0.347556836206854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04725734790119845,0.0,0.0,0.0,0.0,0.0
3307,-0.9024006047805228,0.2237715798003638,1.2431666298540025,-0.8459376014370494,0.2237715798003638,0.0,0.006677124412822796,-0.001522537706477858,0.007293127821566671,0.6584570270670994,0.0,0.0,0.007644810119233935,0.0,0.02424059853097266,0.05779047042221862,0.07962570400989048,0.0,0.0,0.20769308447077436,0.2861666975220335,0.0,0.027335050013744665,0.0,0.0866755305720585,0.0,1.8691956847366915,0.04279919888247471,0.0,0.0,0.0,0.0,0.0035792225569562025,0.0,0.0
128,-0.21241830066571477,-0.6114398134031125,0.5877326587363157,-0.01586937202623833,-0.5914580821581243,0.0,0.08443955549814004,0.00014585838668772013,0.0013997815916404963,0.013298783479607654,3.2876790392379012e-06,0.0,0.003758973917807171,0.0,0.0037564777170551573,0.023750684316591872,0.0894177638493209,0.0,0.0,0.02808248640649694,0.1057263489475,0.0,0.004334601983058819,0.0,0.004331723528202153,0.0,0.1466989774394431,0.020435906182871888,0.00038578315700925174,0.0016415617428917786,0.0,0.0,0.0028524785567399266,0.19659018237679354,0.02002281280783232
5763,0.08415769065183526,0.37474886638559946,-0.7157338904816186,0.5365580265724754,0.08705489414617507,0.0,0.2001349508302734,-0.0009288804755577815,-0.00205765698089273,0.19051847875586803,0.0,0.8069894641192719,0.0004486155031303334,0.0,0.0,0.0007079839305227508,6.658991069627077e-07,0.8080688326588886,0.0,0.0008536328049352694,8.028901476065364e-07,0.974307515276591,0.0005416296935753695,0.0,0.0,0.0,0.02076273921710503,0.0,0.0,0.0016661576343130842,0.0,0.0,0.0,0.0,0.0
494,1.4458813756422702,0.6159619592067568,-0.7308948244534141,0.07679761120387288,0.4470622605440721,2.0,0.01119548040371574,-0.002682393998532254,-0.00022020663517155362,0.005078649109677245,8.427894307463068e-06,0.0,0.0,0.0,0.0,0.1792084149262609,0.12425116768220756,0.0,0.0,0.27498199173489685,0.19065418093619516,0.0,0.0,0.0,0.0,0.0,0.49985040979649625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03308632210241698
1922,-0.1680859118385804,0.008437114491142012,-0.4869116892832145,0.4639810093456561,0.09501259226399765,0.0,0.030473577724366062,-0.001837206186648105,-0.0030434107330477153,0.06331040077267244,0.33678378815641363,0.0,0.0,0.0,0.05253084931590945,0.17940536775050664,0.002305948694870134,0.0,0.0,0.40598856909334285,0.005218287628578178,0.0,0.0,0.0,0.11760370037046654,0.0,0.46896709921384044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
