prism_consumer_id,checking_month1_EMA,checking_month2_EMA,checking_month3_EMA,checking_month4_EMA,checking_month5_EMA,checking_month6_EMA,checking_month7_EMA,checking_month2_SMA,checking_month5_SMA,checking_month7_SMA,SAVINGS_acct_count,Predictions_cat_proba,CHECKING_balance_std_diff_regress_coeff,Predictions_cat_income_proba,CHECKING_balance_std_regress_coeff,DEPOSIT_inflow_over_outflow,EXTERNAL_TRANSFER_inflow_over_outflow,INVESTMENT_INCOME_inflow_over_outflow,LOAN_inflow_over_outflow,MISCELLANEOUS_inflow_over_outflow,PAYCHECK_inflow_over_outflow,PAYCHECK_PLACEHOLDER_inflow_over_outflow,REFUND_inflow_over_outflow,SELF_TRANSFER_inflow_over_outflow,SMALL_DOLLAR_ADVANCE_inflow_over_outflow,TAX_inflow_over_outflow,DEPOSIT_inflow_over_inflow,EXTERNAL_TRANSFER_inflow_over_inflow,LOAN_inflow_over_inflow,MISCELLANEOUS_inflow_over_inflow,REFUND_inflow_over_inflow,SMALL_DOLLAR_ADVANCE_inflow_over_inflow,DEPOSIT_inflow_over_income,EXTERNAL_TRANSFER_inflow_over_income,MISCELLANEOUS_inflow_over_income,PAYCHECK_inflow_over_income,PAYCHECK_PLACEHOLDER_inflow_over_income,REFUND_inflow_over_income,SMALL_DOLLAR_ADVANCE_inflow_over_income,TAX_inflow_over_income,ACCOUNT_FEES_outflow_over_income,ATM_CASH_outflow_over_income,BNPL_outflow_over_income,CREDIT_CARD_PAYMENT_outflow_over_income,EDUCATION_outflow_over_income,ENTERTAINMENT_outflow_over_income,ESSENTIAL_SERVICES_outflow_over_income,FOOD_AND_BEVERAGES_outflow_over_income,GENERAL_MERCHANDISE_outflow_over_income,GIFTS_DONATIONS_outflow_over_income,GROCERIES_outflow_over_income,HOME_IMPROVEMENT_outflow_over_income,INSURANCE_outflow_over_income,LOAN_outflow_over_income,OVERDRAFT_outflow_over_income,PAYCHECK_outflow_over_income,PETS_outflow_over_income,TAX_outflow_over_income,TRAVEL_outflow_over_income,UNCATEGORIZED_outflow_over_income
2149,-0.2634628692496176,0.09092951655552965,1.252517792471087,0.6557063317179802,-0.7229066311324835,-0.6566049604675026,-0.4488954905403689,0.5305294507226958,-0.7582585809480218,-0.4488954905403689,0,0.20773863034783108,0.006399186624707331,0.22869816738799428,0.0034086662182498963,0.093097515326382,0.14163196992908894,5.729975428823547e-06,0.0,0.04226534057671682,0.6541261813516387,0.0,0.0030217806784186723,0.0,0.0,0.02703506588690383,0.0968571632961416,0.14735163222437314,0.0,0.04397218314209966,0.0031438122015248113,0.0,0.12967304213818817,0.19727538742943046,0.058870263834381396,0.9111148840087909,0.0,0.00420895758464895,0.0,0.03765642107279443,0.006312348041104269,0.2305458149495266,0.0,0.0,0.0,0.015899861491121717,0.056259708862899424,0.14114555331358367,0.23109070844135066,0.0,0.23231617463002022,0.0,0.07906542422243844,0.22353402972317815,0.0,0.0,0.0,0.0,0.01439940910617877,0.011472511175395484
3611,-0.4510704194165978,-0.15442884271557042,0.19016845387095846,0.6937500179326339,1.0976111832204265,-0.7638021058731131,-0.7733861546208788,-0.1941749095843571,0.634653873133983,-0.7733861546208788,0,0.38747769255264625,-0.0030968157764261245,0.2337222978435038,-0.0008524026967624615,0.016444878838737163,0.04944415826118746,0.0,0.0,0.7375760798466393,0.1873607374363452,0.0,0.0,0.0045681897490668,0.0,0.0,0.016520973714563226,0.04967294967522613,0.0,0.7409890426758938,0.0,0.0,0.022263648141917974,0.06693921876805496,0.9985561146804892,0.253655473828556,0.0,0.0,0.0,0.0,0.0,0.0670854479470139,0.0,0.0,0.0,0.0020369826887148912,0.016668081237978274,0.2516328072832357,0.3734273972126469,0.0,0.2667997386281249,0.0,0.0,0.016460497158756828,0.0,0.0,0.0,0.0,0.0739929871349,0.004017723385522493
3663,-1.0269653835707666,0.21458976808297966,-0.6679610446580758,0.14029694989298147,0.5674205706840197,0.9096024555012261,0.7529987517060382,-0.20811243374004856,0.6921169678371183,0.7529987517060382,0,0.3040234093300341,-0.007248050315188316,0.23081435153621843,-0.010912617270585607,0.03184004211664603,0.01035841834919822,0.0,0.0,0.7367596979743222,0.1822961872103888,0.0,0.0,0.012867394222241195,0.0,0.0,0.03268589624208962,0.0106335973474433,0.0,0.7563322609662017,0.0,0.0,0.04634638020842322,0.015077718597578867,1.0724277612280333,0.2653504154311889,0.0,0.0,0.0,0.0,0.0,0.03236117487461124,0.0,0.015533363939813393,0.0,0.03604258212834701,0.025949347426121597,0.5538213801221268,0.17707862298454605,0.0,0.061304146717800205,0.029936244170673698,0.047518286221215816,0.033032561382676504,0.0,0.0,0.0,0.0,0.0019373556691600594,0.06280484226731883
650,-0.5822191841021312,0.5598047489001206,0.6270480545061555,0.0,0.0,0.0,0.0,0.5766155753016293,0.0,0.0,0,0.1976664849037396,-0.031584697382600335,0.20769771550696306,-0.029323687193059292,0.12564016271107079,0.0,1.9997463736306617e-05,0.0,0.958514042121487,0.0,0.0,9.120794435827652e-05,0.0,0.0,0.0,0.11587583770950047,0.0,0.0,0.8840215993875016,8.411957395010226e-05,0.0,0.25736902999166733,0.0,1.963479065380596,0.0,0.0,0.0001868359580288507,0.0,0.0,0.0,0.18900405444020152,0.0,0.10094536996517059,0.01445930473044667,0.10729079867876007,0.10747763463678892,0.824232324019511,0.1853572563289432,0.0,0.18190428803510522,0.0,0.0,0.0,0.0,0.0,0.0,0.047258507030826936,0.039562264331916584,0.08606243718015583
2025,0.11809854049138596,-0.5143699887470263,-0.4268903909040574,-0.4262282040287573,-0.264076921385652,0.3949864599064176,2.1188624688439934,-0.49266563600510915,-0.5302800782970286,2.1188624688439934,0,0.16610363009633575,0.0007204122143916947,0.22283304099091547,-0.006017040417438602,0.043873494874662765,0.20476134816911062,0.0,0.028299032963009067,4.561345825085691e-05,0.7283427141844867,0.0,0.0018486120996666733,0.0,0.0,0.0,0.04356112606581769,0.2033034962562913,0.028097550604619888,4.528870131818426e-05,0.0018354504228675233,0.0,0.05259093119973026,0.24544636812474774,5.4676616292036924e-05,0.8730606413035513,0.0,0.0022159217547244965,0.0,0.0,0.0,0.04166813799922314,0.0,0.00531578213950359,0.0,0.0071318811375925655,0.15098226161469921,0.15383152084147314,0.21233929726119516,0.0,0.105501189026555,0.0,0.02839842698412518,0.2393753652227104,0.0,0.0,0.0,0.0,0.0019713957763073313,0.12314806693480991
4950,1.01642770158949,0.8464250486944578,1.4332498430146285,1.8690806987450148,0.6555707439911571,-0.44450246042748437,-0.5358818536340353,0.8841735333419036,0.40339729118813455,-0.5369212835478576,0,0.2473882655451264,0.00023518790632090522,0.22932090525455792,0.004135999365585531,0.502011699155747,0.2556038132868248,1.440529291619721e-06,0.0,0.0,0.18672778626661113,0.0,0.006908984272506983,0.0313076404644678,0.0,0.040348196508774366,0.49076841057004617,0.2498791908502912,0.0,0.0,0.006754247432428354,0.0,1.2702978128659783,0.6467836616646714,0.0,0.47249874633338323,0.0,0.01748259577466182,0.0,0.10209767195541271,0.0,0.011456143539229743,0.000820155730649402,0.025376920140785592,0.016524445587744428,0.07529342047639853,0.16644266434488825,0.44184366842379613,0.33486620005446877,0.0,0.6072297638940891,0.0328010218880037,0.0008331740755803448,0.010067867235793993,0.0005207337972377155,0.0,0.022123375375644343,0.0,0.13987690894500895,0.1416875003580045
2983,0.12043622658516845,0.4465722462096331,1.2075077103986933,-0.6848753338106544,-0.4611943355541881,-0.549449045145784,-0.27843116395090517,1.1099018733092352,-0.5510124832508068,-0.27843116395090517,0,0.14476312774167374,0.002665053725975222,0.2218129974912043,0.005626767712475905,0.01664075636276687,0.06900986287935976,0.0,0.0,0.05202336653002666,0.0,0.7026781520197718,0.002143911038193363,0.0,0.0,0.12997965546364096,0.01711174509480613,0.0709630714419511,0.0,0.053495800769447065,0.00220459084862211,0.0,0.022394651374526085,0.09287148894535868,0.07001155063936186,0.0,0.9456440500618299,0.002885213822718069,0.0,0.17492288249602522,0.0,0.043783717675196024,0.0,0.012773648235469975,0.0,0.002821073801791029,0.06494829390262132,0.07543627444319123,0.2857138974575005,0.0,0.038935166940711245,0.014927774531519656,0.054351601462175055,0.1147899821984264,0.0,0.0,0.0,0.0,0.006675997771406053,0.14783187704684125
4690,1.1967791178719052,0.9334794542575581,-0.04057033836330651,-0.038054888332049154,-0.08602094431480582,-0.056612088414400207,-0.5355501643295663,0.6893381435945276,0.0410657886390871,-0.6014431648361737,0,0.14063628145897125,0.0005662998232780594,0.15247043847967473,0.0018764261304316744,0.4245406894195766,0.22589924731966263,0.0,0.16370727377484098,0.05735247766994437,0.0,0.0,0.058491121614034525,0.02591124941038952,0.055346428740592014,0.01451029966981813,0.4138796513799141,0.2202264801884398,0.15959626741766672,0.05591224599993857,0.05702229639174008,0.05395657284016083,1.831912846812414,0.974765772901348,0.2474786122002477,0.0,0.0,0.2523919138486143,0.23882241764316264,0.062612618857758,0.03958772273880117,1.0245794779985966,0.0,0.22832451762567582,0.0,0.11339413614935077,0.0011180824796028213,1.342198982008264,0.07244011662047496,0.0,0.08167100557207585,0.0,0.0,0.36779010103440524,0.0,0.0,0.0,0.0,0.0,0.7103678893867587
577,-0.5361618412772179,0.01815348048454063,0.4136529906897033,1.3445480032902688,-0.3720979221031258,-0.4140349479041203,-0.37195768508287913,-0.11569539511431014,-0.3931014942586847,-0.37195768508287913,0,0.19159841326113553,-0.003966580785388825,0.20278252764524818,-0.00048547630546465486,0.298363652367465,0.009714269178040072,0.0,0.0,0.4692010702395981,0.0,0.0,0.0029147429644447178,0.0,0.0,0.20305131627654047,0.303447906558086,0.00987980480339313,0.0,0.47719647279175453,0.002964411528339725,0.0,0.5636321324701524,0.01835100961113201,0.8863572947911135,0.0,0.0,0.005506176035910108,0.0,0.383579720538029,0.0,0.19772046438050017,0.0,0.06716403461784201,0.0019668710729488603,0.030901628733249236,0.06269083603599362,0.1719347504473009,0.2202880416440628,0.0,0.5021557377702646,0.0,0.03426174760348092,0.0,0.008048188910734576,0.0,0.0,0.00574572354547018,0.0022219834761570507,0.3635549154123957
3484,-0.5061884975427563,-0.32157387838902435,0.029977256454648007,0.1643123584173091,1.173807979772675,-0.5145442348875449,0.4546065298921442,-0.2672698701687716,0.5094322349126978,0.4546065298921442,0,0.23074528555948895,-0.0021480179212431264,0.21617295809936038,-0.004902090428544539,0.07092293017377872,0.023780183704794046,1.2104954800098777e-06,0.0,0.44140838728108195,0.21577808228464074,0.11197083190091368,0.005866666343867872,0.1236642182378091,0.0,0.0,0.07139466970978474,0.023938356143518028,0.0,0.4443443881949602,0.005905688116546711,0.0,0.21639409652971678,0.07255610217317437,1.3467882521532304,0.6583639882403345,0.3416360117596655,0.01789988033506183,0.0,0.0,0.0,1.4281142430823324,0.0,0.0,0.0,0.01924795757065402,0.029788813544298187,0.15383592607366042,0.1059108570077856,0.0,0.4643922941689196,0.0,0.00019759488247721196,0.0,0.0,0.0,0.0,0.0,0.0952702802523305,0.09018636706111777
