prism_consumer_id,amount
0,53797.05
2,17435.96
4,147432.41999999998
7,136489.04
9,126885.15
11,107315.19
12,158944.66
13,79220.93
14,147659.03
16,454485.02999999997
21,94697.47
23,124322.18
25,138953.02
26,7216.04
28,33020.64
29,26221.09
30,229409.79
32,54151.5
33,134225.09
34,84744.61
35,115657.45999999999
36,69344.13
37,23370.51
39,67995.64
41,124225.13
44,25404.31
45,191690.96
47,70928.66
56,318091.73
59,452.18
60,50355.94
62,103729.87
63,62768.19
67,321906.02999999997
69,74034.81
71,115050.73
78,224175.79
79,33611.37
81,38171.88
83,25865.23
84,46467.549999999996
85,3530.06
86,12337.77
87,37705.71
88,88729.27
90,31260.88
91,211132.28
94,45933.380000000005
95,149980.49
96,6628.76
97,96870.31
100,205361.07
103,151888.24
106,18913.38
107,33404.95
108,0.43000000000000005
114,16000.0
118,84145.34
119,170712.54
120,55409.37
123,130723.45
124,10.46
127,19977.87
128,142437.53
129,117881.99
132,82744.13
136,111745.1
141,142522.39
144,35759.42
145,138426.05
147,459.6
153,7891.0
157,42907.59
158,91531.37
159,26270.8
160,56483.020000000004
161,63099.9
162,153499.05
163,73082.4
164,20092.59
167,65494.87
169,104012.18
174,12423.279999999999
177,84041.89
179,72355.0
180,60559.159999999996
183,105371.98
186,80190.02
187,206370.09
190,20177.11
191,263418.41
192,134484.79
194,65223.46
197,803657.69
200,227978.82
202,71388.64
206,63237.56
211,2710.0
213,29177.78
214,346064.47000000003
215,73760.17
216,88141.96
217,36260.29
218,182231.8
220,70130.06
221,3492.02
223,13902.2
224,105879.79000000001
226,66496.49
227,169980.1
230,2827.44
235,92100.28
237,54381.380000000005
241,21166.21
243,964037.53
244,216233.43
245,37300.3
248,3160.44
251,86837.88
255,172048.95
256,61358.03
258,234626.99
261,54244.49
262,339935.06
264,87558.72
266,257160.66999999998
281,21634.3
282,87469.79
283,64346.42
284,94260.22
286,65172.22
290,231749.24
293,57099.88
296,71515.06
297,164751.9
298,70417.58
299,106902.7
300,62.51
303,49446.45
307,15723.06
309,109340.06
311,38265.6
312,109752.07
315,39709.77
318,11258.14
319,83631.34
326,146025.18
330,85298.72
331,101568.49
336,28036.27
339,80949.73
345,79649.81
347,114912.42
348,96717.31999999999
349,185884.22
350,110191.98
352,55504.77
355,8254.51
356,44025.57
357,86503.77
359,43554.34
363,95860.68
365,29721.59
366,60365.56
367,48350.0
368,139091.76
370,97881.99
374,6.0
376,75175.97
377,118483.84
378,57932.48
380,23102.18
381,25457.94
384,58527.42
387,505609.12
388,150972.51
390,18725.1
391,131531.48
393,1821.85
394,21299.1
395,532500.4
401,75199.71
402,47094.77
403,77302.58
404,58189.96
406,84910.47
407,52165.270000000004
409,27422.68
410,57062.85
411,67609.74
413,96684.56
414,2575.0
416,66411.44
418,152390.64
419,157341.09
420,71286.43000000001
421,5200.0
423,142812.47
424,7200.0
425,8675.720000000001
428,201552.35
430,153355.52
431,89289.69
434,27.32
438,48437.700000000004
440,117730.93000000001
441,159803.3
442,9358.529999999999
443,71386.81
444,45093.06
446,134216.29
449,20322.62
450,61392.98
451,47694.61
453,38175.0
456,3644057.77
461,83796.25
463,66895.85
465,60857.74
466,91955.38
470,101022.24
472,0.04
473,64911.49
474,12776.56
475,36907.36
476,27454.14
477,210812.93
480,43913.25
482,84338.31
483,129237.20999999999
486,66324.36
488,71363.37
489,137208.8
490,205133.35
494,81823.54
497,57562.0
498,51542.5
499,94782.5
501,13801.21
504,66587.36
505,67806.3
511,115230.14
515,38975.08
516,75076.05
520,65032.27
522,47748.06
523,77839.18
525,61090.0
526,0.26
527,70347.79
528,65095.91
533,49166.13
534,29450.61
537,26639.350000000002
539,34948.98
540,86615.83
541,86347.02
543,278314.22
547,86081.44
548,111348.08
549,54195.01
550,54196.35
552,87047.63
553,31422.1
554,112385.36
555,136909.4
557,114156.3
558,890.04
559,5845.0
561,84045.87
562,103562.87
564,46543.25
567,66383.01
568,74268.7
569,57753.21
570,39201.47
573,36270.2
574,87034.68
575,61239.79
577,26341.329999999998
579,110732.51
584,30772.11
585,87293.1
586,54735.0
587,44561.95
589,78077.64
591,75493.75
594,45487.39
595,68658.29
596,276286.99
599,90911.83
603,115871.09999999999
604,77339.14
605,166658.56
606,92199.27
607,101072.17
612,94960.37
615,277678.24
616,31722.219999999998
617,128208.87
619,4885.16
620,93988.06
622,96748.95
624,48162.29
626,70276.2
627,86775.54000000001
628,65339.880000000005
629,86867.64
631,143334.51
633,128288.94
635,96541.0
641,41859.4
643,49281.96
645,63637.36
646,32327.36
650,10008.779999999999
651,7993.53
652,69560.08
656,7886.19
658,53240.96
660,48561.16
661,34214.64
663,84270.06
664,108349.97
666,101945.46
671,34577.92
672,82511.27
674,247367.28
676,265787.05
677,184540.85
678,33138.63
679,92488.26
682,39035.3
683,38933.37
684,117970.71
685,163611.06
687,205834.45
691,45535.97
692,88421.51
696,15965.77
697,169600.68
698,280.0
699,117006.63
700,107292.14
711,73405.44
714,24830.34
715,70554.84
721,44410.42
722,217465.94
723,176530.4
724,165737.09
729,53884.46
731,72699.81
734,28581.48
735,29520.6
736,31546.88
739,18549.59
740,219850.74
743,82811.33
746,85195.56
747,105443.54000000001
748,94440.15000000001
749,110231.09
750,6191.94
751,72760.15000000001
752,47026.56
754,152614.7
755,11000.0
756,15271.06
758,63636.74
761,191903.22
762,140483.8
765,19745.91
771,50428.56
773,502324.88
774,86136.18
777,8900.0
778,73712.76
781,15600.0
787,71518.95
788,104730.6
789,103410.05
793,16414.23
794,172242.21
799,38565.97
800,108465.90000000001
801,1307627.44
802,198327.11
804,92056.33
808,157016.88
812,6940.06
813,47183.0
814,177441.43
817,265693.51
818,92271.2
819,31.119999999999997
822,35492.76
824,257922.56
826,103108.17
828,26241.88
831,24543.63
833,15600.0
834,19323.77
835,104776.87
836,228877.31
837,139874.98
838,145990.48
841,155845.13
842,263677.06
843,42317.69
846,57648.43
849,6050.8
851,56078.25
852,61544.97
854,67801.76
857,59793.38
858,75113.19
861,0.04
862,113605.56
865,63113.24
869,19332.98
872,95891.84
874,155011.41
