prism_consumer_id,CHECKING_acct_count,CREDIT CARD_acct_count,SAVINGS_acct_count,Predictions_cat_proba,Predictions_cat_income_proba,DEPOSIT_inflow_over_outflow,EXTERNAL_TRANSFER_inflow_over_outflow,TAX_inflow_over_outflow,TAX_inflow_over_inflow,SMALL_DOLLAR_ADVANCE_inflow_over_income,CREDIT_CARD_PAYMENT_outflow_over_income,INSURANCE_outflow_over_income,LOAN_outflow_over_income
5671,1.0,0.0,0.0,0.18960027545611916,0.23468614133365154,0.04584220988171534,0.09091962526852487,0.0,0.0,0.0,0.0,0.09441821324528427,0.06605874360826729
2117,1.0,0.0,0.0,0.2128683407454858,0.23336550484978644,0.03952646812954534,0.21152977178188867,0.0,0.0,0.23892293540718443,0.0,0.0322002956128319,0.3536037723759474
3212,1.0,0.0,0.0,0.20171454744694475,0.2250987990826178,0.21020368724932653,0.03608436503960067,0.0,0.0,0.0068509384847239355,0.0,0.006850253459377997,0.0
2642,1.0,0.0,0.0,0.2369997663458301,0.22706052866829177,0.015096131984377346,0.022087297985678926,0.0,0.0,0.0034514314565435196,0.0,0.0368543850929717,0.010358238862723752
3721,1.0,0.0,0.0,0.30922687875340066,0.23974227969257508,0.0,0.36936752478080875,0.0,0.0,0.0057454061169040765,0.0,0.004134968782335864,0.03399384437188635
4237,1.0,0.0,0.0,0.16462511560123524,0.20791153400160306,0.5953354211764028,0.11513518600334485,0.0,0.0,0.0,0.0,0.002827755570267993,0.13273667082681204
5329,1.0,0.0,0.0,0.18071837368787852,0.2320374473020863,0.9823998833946725,0.013835222096709544,0.0,0.0,0.0,0.0001956521739130435,0.0,0.7696826086956522
423,2.0,0.0,0.0,0.023157443387378164,0.13382043252150816,0.3950141571950265,0.07483953900119303,0.009252298691582965,0.009474796942320658,0.0,0.3383280885765788,0.0,1.2327897556845
2273,1.0,0.0,0.0,0.2951715454927704,0.23409040715193466,0.002972411611102772,0.32591716448259683,0.0,0.0,0.0,0.0,0.0,0.0002414244525549648
5220,1.0,0.0,0.0,0.2896690514117165,0.23112242486904255,0.24659148165622172,0.16731434348119031,0.0,0.0,0.0,0.0,0.0,0.0
3572,1.0,0.0,0.0,0.2703346723990217,0.23938827460207437,0.12312238364934745,0.13754189136120262,0.0,0.0,0.13802523278702877,0.013679273028714162,0.12907214858973534,0.18273867253598677
414,1.0,0.0,0.0,0.1082462459746213,0.07205437695591295,0.31229863489590054,0.15992938807367876,0.0,0.0,0.0,0.0,3.230454368932039,5.35633786407767
525,1.0,0.0,3.0,0.004708904774670567,0.05673154669450961,0.014710632708123821,0.29707246213765165,0.0007545868591213774,0.0008609656939087808,0.0,0.9050256997871992,0.022887215583565233,0.2416991324275659
3289,1.0,0.0,0.0,0.24844349784333974,0.2341819852150856,0.26003095932820997,0.11395606202041907,0.0,0.0,0.0,0.0,0.0,0.14241413645656417
3297,1.0,0.0,0.0,0.18867286772657751,0.23695042611241596,0.0007725437935762983,0.4499839697162833,0.0,0.0,0.0,0.0,0.06240699567135133,0.30174532346764293
5564,1.0,0.0,0.0,0.48379948895586833,0.2347557249822714,0.0,0.01685144444043712,0.0,0.0,0.0,0.0,0.0,0.0028660569630655805
1739,1.0,0.0,1.0,0.1984664420322651,0.22744986637278453,0.026549781300552366,0.1876116988543613,0.0,0.0,0.0,0.02389612069844444,0.02889911256520758,0.23873282664962253
3802,1.0,0.0,0.0,0.31653100132472306,0.2549718298210662,0.010685886054114118,0.41026393236716513,0.0,0.0,0.0,0.0,0.0019280949136856176,0.08914868182577734
1356,2.0,0.0,2.0,0.12426066639987256,0.2136370677073394,0.035583919352871834,0.09047277568867042,0.01616332516012158,0.015598204533016788,0.0,0.07223370889253625,0.10135503524600123,0.3074109273930315
2941,1.0,0.0,0.0,0.11947074619584723,0.23522729189582448,0.035581164957838855,0.0061001365808432025,0.015045749753600431,0.015042117930204572,0.0,0.0,0.1197522389968459,0.3155370656254771
4188,1.0,0.0,0.0,0.210329526297506,0.2485012062549483,0.028241425632402617,0.526043451147235,0.0,0.0,0.0,0.010830847255369928,0.0,0.0
1896,3.0,0.0,0.0,0.028513827715124188,0.06912584453670377,0.16074795517810814,0.4389911184628002,1.701554644340635e-05,1.7886701948985294e-05,0.0,0.7638154688641705,0.0024712057189787114,0.0002505270196569412
5730,1.0,0.0,0.0,0.18976363612644767,0.21902468416788276,0.9253729300178826,0.02183666190809692,0.0,0.0,1.346833453134169e-07,0.058475872084762154,0.07944781983355025,0.13744273769219817
1340,1.0,1.0,1.0,0.04316372876317549,0.12738992078650221,0.1456180196572359,0.19843766803302765,0.0,0.0,0.0,0.37197247895488605,0.04213829181636185,0.0
1048,4.0,0.0,0.0,0.010640594800194556,0.07569105980031647,0.0016176779383507277,0.026579370021441576,0.0,0.0,0.0,0.6784391732580876,0.0038954529696344307,0.35041188936234413
3907,1.0,0.0,0.0,0.3278168190230793,0.24107160991015444,0.10298349850601324,0.014225922483459157,0.05215708644548427,0.05209695376677931,0.04713252235056715,0.0,0.009505817128413694,0.04541754864076307
2662,1.0,0.0,0.0,0.08977897164581732,0.22516814869473084,0.010246545547944269,0.00030739636643832807,0.0,0.0,0.0,0.032708350005082626,0.018788430635069287,0.266319569858054
3015,1.0,0.0,0.0,0.207669356786765,0.22425916573400767,0.0032992059391479794,0.008015243725179155,0.0,0.0,0.0,0.0,0.012946860399182034,0.005687022606973242
549,1.0,0.0,0.0,0.0611100121909735,0.19170523665687858,0.024121330437133926,0.0,0.042934374778349556,0.0334521625561477,0.0,0.13744346573605207,0.05605663694867849,0.0828175878185095
5513,1.0,0.0,0.0,0.2439204665013971,0.23387167942785914,0.4560937751693129,0.01201167155753836,0.00875454360813262,0.009124256173528753,0.0,0.0,0.14509686973767064,0.0
5433,1.0,0.0,0.0,0.25297884540480303,0.22008349186962942,0.08288238342871428,0.016380350823279894,0.19303435963152518,0.19291290064386152,0.0,0.02931526596338435,0.0008401939167559874,0.11881572266879196
5046,1.0,0.0,0.0,0.2075863864795806,0.22867883087937385,0.027153981881477374,0.0037461268165262,0.0,0.0,0.0,0.0031462519079062533,0.022841245033115902,0.11209723771637924
1038,1.0,1.0,1.0,0.08765034669384629,0.1953526750234513,0.01115095005501333,0.5272728710631858,0.09864755188206882,0.10638972492401054,0.0,0.11495316646108072,0.0,0.29795206002649366
